id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1875,Sant Nagar Extn.,F,10,107,Vishnu Garden,"Rs. 56,640 Per Square Meter",56640,West
1876,Sant Nagar(Nizamuddin),G,5,154,Nizamuddin,Rs. 46200 Per Square Meter,46200,City
1877,Sant Nagar (North),F,8,59,Rani Bagh,"Rs. 56,640 Per Square Meter",56640,Rohini
1878,Sant Nagar(Tagore Garden),F,10,107,Vishnu Garden,"Rs. 56,640 Per Square Meter",56640,West
1879,Santosh Park(Uttam Nagar),G,10,127,Uttam Nagar,Rs. 46200 Per Square Meter,46200,West
1880,Sanwal Nagar,E,4,159,Adnisganj,"Rs. 70,070 Per Square Meter",70070,Central
1881,Saoda,H,9,30,Mundaka,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1882,Sarai Basti,G,12,74,Inder Lok Colony,Rs. 46200 Per Square Meter,46200,Karol Bagh
1883,Sarai Jhuliana,G,4,193,Sriniwaspuri,Rs. 46200 Per Square Meter,46200,Central
1884,Sarai Kale Khan,F,5,153,Daryaganj,"Rs. 56,640 Per Square Meter",56640,City
1885,Sarai Kale Khan,G,5,154,Nizamuddin,Rs. 46200 Per Square Meter,46200,City
1886,Sarai Rohilla,E,12,91,Karol Bagh,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1887,Sarangpur,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1888,Saraswati Garden,D,10,97,Kirti Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1889,Saraswati Kunj,B,6,78,Majnu Ka Tilla,"Rs. 2,45,520 Per Square Meter",245520,Civil Line
1890,Saraswati Kunj And Apartments,F,1,217,Vinod Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1891,Saraswati Park,E,12,91,Karol Bagh,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1892,Saraswati Vihar,D,8,60,Saraswati Vihar,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1893,Sardar Nagar near CC Colony,D,6,70,Rana Pratap Bagh,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
