id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
573,Gola Kuan,G,4,197,Tughlakabad,Rs. 46200 Per Square Meter,46200,Central
574,Golden Park,F,8,62,Rampura,"Rs. 56,640 Per Square Meter",56640,Rohini
575,Golden Park(Jagat puri),F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
576,Goman Hera,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
577,Gopalnagar,F,10,109,Janakpuri North,"Rs. 56,640 Per Square Meter",56640,West
578,Gopal Nagar,F,6,13,Dhirpur,"Rs. 56,640 Per Square Meter",56640,Civil Line
579,Gopal Nagar Extn. Khaira Road,G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
580,"Gopal Nagar, Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
581,Gopal Park,G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
582,Gopal Park Budh Vihar,G,8,24,Vijay Vihar,Rs. 46200 Per Square Meter,46200,Rohini
583,Gopal Park(Jagat puri),F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
584,Gopal Pur Extn,F,6,11,Mukherjee Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
585,Gopalpur(Haiderpur),H,6,11,Mukherjee Nagar,"Rs. 23,280 Per Square Meter",23280,Civil Line
586,Gopal Vihar,G,8,24,Vijay Vihar,Rs. 46200 Per Square Meter,46200,Rohini
587,Gorakh Park,F,2,259,Janta Colony,"Rs. 56,640 Per Square Meter",56640,Shahadra North
588,Goverdhan Behari Colony,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
589,Govind Garh,F,12,92,Dev Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
590,Govind Khand,F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
591,Govind Park,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
592,Govindpuri,F,4,196,Kalkaji,"Rs. 56,640 Per Square Meter",56640,Central
593,Govindpuri Extn,F,4,195,Govindpuri,"Rs. 56,640 Per Square Meter",56640,Central
594,Govind Vihar,G,2,266,Karawal Nagar East,Rs. 46200 Per Square Meter,46200,Shahadra North
595,Greater Kailash I,B,4,192,Greater Kailash I,"Rs. 2,45,520 Per Square Meter",245520,Central
596,Greater Kailash II,B,3,189,Greater Kailash II,"Rs. 2,45,520 Per Square Meter",245520,South
597,Greater Kailash III,B,3,189,Greater Kailash II,"Rs. 2,45,520 Per Square Meter",245520,South
598,Greater Kailash IV (NRI Colony),B,4,190,Chitranjan Park,"Rs. 2,45,520 Per Square Meter",245520,Central
599,Green Park,B,3,163,Safdarjang Enclave,"Rs. 2,45,520 Per Square Meter",245520,South
600,Green Park Extn.,B,3,163,Safdarjang Enclave,"Rs. 2,45,520 Per Square Meter",245520,South
601,"Green Valley Enclave, Ghavera Nizampur Road",G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
602,GT Karnal Rd Indl Area,E,6,71,Sangam Park,"Rs. 70,070 Per Square Meter",70070,Civil Line
603,Gua Shala,F,11,90,Model Basti,"Rs. 56,640 Per Square Meter",56640,Sadar Paharganj
604,Gudahi Mohalla,F,1,238,Jhilmil,"Rs. 56,640 Per Square Meter",56640,Shahadra South
605,Gujarat Vihar,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
606,Gujranwala,D,6,72,Model Town,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
607,Gujranwala (Vikas Puri),F,10,116,Vikaspuri East,"Rs. 56,640 Per Square Meter",56640,West
608,Gulab Bagh,G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
609,Gulabi Bagh,E,11,73,Shastri Nagar,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
610,Gulabi Park,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
611,Gulmohar Park,B,3,164,Hauz Khas,"Rs. 2,45,520 Per Square Meter",245520,South
612,"Gulshan Park, Nangloi",G,9,31,Nangloi Jat West,Rs. 46200 Per Square Meter,46200,Nazafgarh
613,"Gupta Enclave, Ranhola Road",G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
614,Gupta Park Najafgarh Road,G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
615,"Gurpreet Nagar,Uttam Nagar",F,9,136,Matiala,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
616,Guru Amardas Nagar,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
617,Guru Angad Nagar East,F,1,228,Preet Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
618,Guru Angad Nagar Extn,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
619,Guru Arjun Nagar,E,12,96,New Ranjit Nagar,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
620,"Guru Hari Kishan Nagar, Nilothi Extn.",G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
621,Guru Harkishan Nagar,D,10,41,Guru Harkishan Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
622,Guru Har Krishan Nagar Near Matiala,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
623,Gurukul Vihar,G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
624,Gurunanak Nagar,E,12,96,New Ranjit Nagar,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
625,Guru Nanak Nagar,G,10,115,Major Bhupinde Singh Nagar,Rs. 46200 Per Square Meter,46200,West
626,Guru Nanak Ngr,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
627,Guru Nanakpura,F,10,109,Janakpuri North,"Rs. 56,640 Per Square Meter",56640,West
628,Guru Nanak Pura,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
629,Guru Nanak Vihar,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
630,Guru Ram Dass Nagar,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
631,Guru Ravi Dass Nagar Harijan Basti,G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
632,Guru Teg Bahadur Encl,F,2,241,Dilshad Garden,"Rs. 56,640 Per Square Meter",56640,Shahadra North
633,Guru Teg Bahadur Nagar,D,6,12,GTB Nagar,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
634,Gyan Kunj,E,1,222,Laxmi Nagar,"Rs. 70,070 Per Square Meter",70070,Shahadra South
635,Gyan Mohalla,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
636,Haibatpur,G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
637,Haidarpur Village,G,8,54,Pitampura North,Rs. 46200 Per Square Meter,46200,Rohini
638,Haji Colony,F,4,206,Okhla,"Rs. 56,640 Per Square Meter",56640,Central
639,Hakikat Nagar,D,6,12,GTB Nagar,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
640,Hamdard Nagar,B,4,185,Tughlakabad Extn.,"Rs. 2,45,520 Per Square Meter",245520,Central
641,Hamidpur,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
642,"Hans Nagar Colony, Pindwala Kalan",G,9,133,Chhawala,Rs. 46200 Per Square Meter,46200,Nazafgarh
643,Hanuman Enclave,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
644,Hanuman Mandir Colony,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
645,"Hardev Nagar, Jharoda Majra Extn.",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
646,Hardev Puri,G,2,245,Durga Puri,Rs. 46200 Per Square Meter,46200,Shahadra North
647,Hardev Vihar,G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
648,Hareoli,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
649,Hargovind Enclave,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
650,Har Govind Enclave Raj Pur Khurd,G,10,122,Hastsal,Rs. 46200 Per Square Meter,46200,West
651,Hari Das Colony,G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
652,Hari Enclave,G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
653,Harijan Basti Amar colony Mundka,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
654,"Harijan Basti,Ashok Nagar",G,1,212,New Ashok Nagar,Rs. 46200 Per Square Meter,46200,Shahadra South
655,Harijan Basti Bawana,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
656,"Harijan Basti, Bijwasan",G,9,143,Kapashera,Rs. 46200 Per Square Meter,46200,Nazafgarh
657,Harijan Basti Bindapur,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
658,Harijan Basti Dallupura,G,1,214,Khichripur,Rs. 46200 Per Square Meter,46200,Shahadra South
659,Harijan Basti Extn. Sadatpur Karawal Nagar,G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
660,"Harijan Basti, Jharoda Majra, Burari",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
661,Harijan Basti Jyoti Nagar West,G,2,258,Kadam Puri,Rs. 46200 Per Square Meter,46200,Shahadra North
662,Harijan Basti Karkardooma,G,1,225,Anand Vihar,Rs. 46200 Per Square Meter,46200,Shahadra South
663,Harijan Basti Kondli,G,1,214,Khichripur,Rs. 46200 Per Square Meter,46200,Shahadra South
664,"Harijan Basti , Lal Kuan",G,4,198,Pul Pehladpur,Rs. 46200 Per Square Meter,46200,Central
665,Harijan Basti Mandoli Extn,G,2,264,Harsh Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
666,"Harijan Basti, Masudpur",G,9,172,Kishangarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
667,"Harijan Basti, Mithapur",G,4,202,Meethapur,Rs. 46200 Per Square Meter,46200,Central
668,Harijan Basti New Rohtak Road,G,12,74,Inder Lok Colony,Rs. 46200 Per Square Meter,46200,Karol Bagh
669,Harijan Basti Okhla,G,4,206,Okhla,Rs. 46200 Per Square Meter,46200,Central
670,Harijan Basti Palam,G,9,145,Palam,Rs. 46200 Per Square Meter,46200,Nazafgarh
671,Harijan Basti Patpar Ganj,G,1,220,Patparganj,Rs. 46200 Per Square Meter,46200,Shahadra South
672,"Harijan Basti, Sagarpur",G,9,131,Sagarpur,Rs. 46200 Per Square Meter,46200,Nazafgarh
673,Harijan Basti Sultanpuri,G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
674,Harijan Colony,G,4,190,Chitranjan Park,Rs. 46200 Per Square Meter,46200,Central
675,Harijan Colony,G,8,40,Sultanpuri South,Rs. 46200 Per Square Meter,46200,Rohini
676,Harijan Colony Begum Pur,G,3,161,Malviya Nagar,Rs. 46200 Per Square Meter,46200,South
677,Harijan Colony Neb Sarai,G,3,173,Said-ul-Ajaib,Rs. 46200 Per Square Meter,46200,South
678,Harijan Colony (Outram Lines),F,6,12,GTB Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
679,"Harijan colony, Tilak Nagar",G,10,114,Tilak Nagar,Rs. 46200 Per Square Meter,46200,West
680,"Harijan Colony, Wazir Pur",G,8,67,Wazirpur,Rs. 46200 Per Square Meter,46200,Rohini
681,Hari Krishna Nagar,G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
682,"Hari Nagar (19,20)",F,10,111,Hari Nagar,"Rs. 56,640 Per Square Meter",56640,West
683,Hari Nagar Ashram,G,4,156,Bhogal,Rs. 46200 Per Square Meter,46200,Central
684,Hari Nagar Ashram Colony,E,4,156,Bhogal,"Rs. 70,070 Per Square Meter",70070,Central
685,"Hari Nagar Extn, Jaitpur Road",G,4,201,Jaitpur,Rs. 46200 Per Square Meter,46200,Central
686,"Hari Nagar, Najafgarh",G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
687,Hari Nagar Village,H,4,201,Jaitpur,"Rs. 23,280 Per Square Meter",23280,Central
688,Hari Singh Park,E,10,58,Paschim Vihar North,"Rs. 70,070 Per Square Meter",70070,West
689,Harit Niketan,E,8,60,Saraswati Vihar,"Rs. 70,070 Per Square Meter",70070,Rohini
690,"Harit Vihar, Burari",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
691,"Hari Vihar Colony, Kakraula Road",G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
692,Harkeh Nagar,F,12,92,Dev Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
693,Harkesh Nagar,G,4,200,Harkesh Nagar,Rs. 46200 Per Square Meter,46200,Central
694,Harkishan Nagar Matiala Extn.,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
695,Harsarup colony Fatehpur Beri,G,3,176,Bhati,Rs. 46200 Per Square Meter,46200,South
696,Harshdev Colony,G,8,23,Budh Vihar,Rs. 46200 Per Square Meter,46200,Rohini
697,"Harsh Dev Park,Budh Vihar (Rithala Road)",G,8,23,Budh Vihar,Rs. 46200 Per Square Meter,46200,Rohini
698,Harsh Vihar,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
699,Harsh Vihar(Dilshad Garden),F,2,264,Harsh Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
700,Hasanpur,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
701,Hasanpur Colony,G,1,227,IP Extension,Rs. 46200 Per Square Meter,46200,Shahadra South
702,Hasanpur(Preet Vihar),G,1,227,IP Extension,Rs. 46200 Per Square Meter,46200,Shahadra South
703,Hastal Colony,G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
704,Hastsal,G,10,123,Vikaspuri,Rs. 46200 Per Square Meter,46200,West
705,Hastsal (Janta Flats),G,10,124,Vikas Nagar,Rs. 46200 Per Square Meter,46200,West
706,Hastsal Vihar,H,10,123,Vikaspuri,"Rs. 23,280 Per Square Meter",23280,West
707,Hathi Khana,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
708,Hauz Khas,B,3,164,Hauz Khas,"Rs. 2,45,520 Per Square Meter",245520,South
709,Hauz Khas Village,E,3,163,Safdarjang Enclave,"Rs. 70,070 Per Square Meter",70070,South
710,Hauz Qazi,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
711,Hauz Rani,G,3,162,Village Huaz Rani,Rs. 46200 Per Square Meter,46200,South
712,Hauz Rani Mohalla,G,3,162,Village Huaz Rani,Rs. 46200 Per Square Meter,46200,South
713,Haveli Haider Kuli,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
714,Hawaldar Muktiyar Singh Marg,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
715,Hazara Park,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
716,Hazari Park (Holambi),G,7,3,Alipur,Rs. 46200 Per Square Meter,46200,Narela
717,"Hemant Vihar, Rajpur Khurd",G,3,173,Said-ul-Ajaib,Rs. 46200 Per Square Meter,46200,South
718,Hemkunt Colony,B,4,192,Greater Kailash I,"Rs. 2,45,520 Per Square Meter",245520,Central
719,"Hill View Apartment, Vasant Vihar",C,3,165,Vasant Vihar,"Rs. 1,59,840 Per Square Meter",159840,South
720,Himgiri Enclave,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
721,"Himgiri Enclave, Mukandpur",G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
722,Himmatpuri,G,1,211,Dellopura II,Rs. 46200 Per Square Meter,46200,Shahadra South
723,Hind Nagar,F,10,114,Tilak Nagar,"Rs. 56,640 Per Square Meter",56640,West
724,Hiranki,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
725,"Hira Park, Najafgarh",G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
726,Holambi Kalan,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
727,Holambi Khurd,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
728,HUDCO Place,A,4,159,Adnisganj,"Rs. 7,75,000 Per Square Meter",775000,Central
729,Hudson Line (Kingsway),D,6,12,GTB Nagar,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
730,Humayanpur,E,3,163,Safdarjang Enclave,"Rs. 70,070 Per Square Meter",70070,South
731,IAAI Colony,E,9,144,Mahipalpur,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
732,Ibrahim Pur,H,6,7,Burari,"Rs. 23,280 Per Square Meter",23280,Civil Line
733,Ibrahimpur Extn,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
734,"Ideal Society, Dabri",G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
735,IINAA Housing Complex,E,9,143,Kapashera,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
736,IIT Area,B,3,161,Malviya Nagar,"Rs. 2,45,520 Per Square Meter",245520,South
737,INA Colony,B,4,158,Kotla Mubarakpur,"Rs. 2,45,520 Per Square Meter",245520,Central
738,Inderaj Colony Bawana,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
739,Inder Enclave,D,10,42,Peragharhi,"Rs. 1,27,680 Per Square Meter",127680,West
740,Inder Enclave(Kanjhwala),G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
741,Inder Enclave Phase 1,G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
742,Inder Enclave Phase-II,G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
743,Inderlok A Block,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
744,Inderlok B Block,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
745,"Inder Prastha, Amrit Vihar, Burari",G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
746,Inderpuri,E,12,151,Inderpuri,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
747,Indian Air Lines Clny,E,9,143,Kapashera,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
748,Indira Camp (Jhilmil Colony),F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
749,Indira Jheel,G,8,40,Sultanpuri South,Rs. 46200 Per Square Meter,46200,Rohini
750,Indira Kalyan Vihar,G,4,199,Tekhand,Rs. 46200 Per Square Meter,46200,Central
751,Indira Nagar,G,6,14,Adarsh Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
752,Indira Nagar Bhatti Mines,G,3,176,Bhati,Rs. 46200 Per Square Meter,46200,South
753,Indira Park Palam,G,9,146,Sadh Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
754,Indira Vihar,D,6,12,GTB Nagar,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
755,Indira Vihar(Gokalpur),F,2,261,Jiwanpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
756,Indira Vikas Colony,F,6,11,Mukherjee Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
757,Indra Colony (Narela),G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
758,Indra Enclave Neb Sarai,F,3,173,Said-ul-Ajaib,"Rs. 56,640 Per Square Meter",56640,South
759,Indra Park,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
760,Indra Park Extn,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
761,Indra Park(Preet Vihar),F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
762,"Indraprastha Colony, Nathu Pura",G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
763,Indraprastha Extension,D,1,227,IP Extension,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
764,Indraprasth Estate,A,5,153,Daryaganj,"Rs. 7,75,000 Per Square Meter",775000,City
765,Institutional Area Pankha Road,C,10,110,Janakpuri II,"Rs. 1,59,840 Per Square Meter",159840,West
766,Iradat Nagar Alias Naya Bans,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
767,Isapur(Jafrabad),H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
768,Ishwar Colony,D,6,70,Rana Pratap Bagh,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
769,Ishwar Colony Bawana,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
770,Ishwar Colony(Nangli Dairy) Najafgarh Road,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
771,Ishwar Nagar,B,4,193,Sriniwaspuri,"Rs. 2,45,520 Per Square Meter",245520,Central
772,Islam Colony Mehrauli,F,3,170,Mehrauli I,"Rs. 56,640 Per Square Meter",56640,South
773,Jafarpur Alias Hiran Kudna,H,9,30,Mundaka,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
774,Jafar Pur Kalan,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
775,Jaffarpur Extn.,G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
776,Jaffrabad,F,2,249,Chauhan Bangar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
777,Jagadamba Vihar Sagarpur,G,9,131,Sagarpur,Rs. 46200 Per Square Meter,46200,Nazafgarh
778,Jagat Pur(Burari),H,6,7,Burari,"Rs. 23,280 Per Square Meter",23280,Civil Line
779,Jagatpur Extn,G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
780,Jagatpuri,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
781,Jagat Puri A Block,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
782,Jagatpuri(Bhagwanpur),F,2,245,Durga Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
783,"Jagat Puri, Preet Vihar",F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
784,"Jagat Ram Park ,M,N,L (Laxmi Nagar)",F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
785,"Jagdamba, Badarpur",G,4,207,Madanpur Khadar,Rs. 46200 Per Square Meter,46200,Central
786,Jagjeet Nagar,G,2,254,Brahanpuri,Rs. 46200 Per Square Meter,46200,Shahadra North
787,Jagjeevan Nagar,G,2,245,Durga Puri,Rs. 46200 Per Square Meter,46200,Shahadra North
788,Jagjeevan Nagar,G,2,251,New Usmanpur,Rs. 46200 Per Square Meter,46200,Shahadra North
789,Jagjivan Ram Housing Society,E,9,172,Kishangarh,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
790,Jagriti Enclave,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
791,Jahangirpuri,G,6,16,Jahangir Puri,Rs. 46200 Per Square Meter,46200,Civil Line
792,Jahangirpuri Industrial Area,F,6,15,Sarai Pipal Thala,"Rs. 56,640 Per Square Meter",56640,Civil Line
793,Jai Bharat Enclave,G,10,126,Nawada,Rs. 46200 Per Square Meter,46200,West
794,Jai Dev Park,D,10,99,Moti Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
795,Jai Dev Park ( DDA Flats),E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
796,Jain Colony,G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
797,Jain Colony (Uttam Nagar),F,9,148,Madhu Vihar,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
798,Jain Colony(Vir Nagar),E,6,70,Rana Pratap Bagh,"Rs. 70,070 Per Square Meter",70070,Civil Line
799,Jain Mohalla,F,1,233,Dharam Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
800,Jain Nagar,G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
801,"Jain Park, Pankha Road",G,10,127,Uttam Nagar,Rs. 46200 Per Square Meter,46200,West
802,Jain Park (Uttam Nagar),F,10,127,Uttam Nagar,"Rs. 56,640 Per Square Meter",56640,West
803,Jainpur,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
804,Jai Prakash Mohalla,G,2,254,Brahanpuri,Rs. 46200 Per Square Meter,46200,Shahadra North
805,Jai Prakash Nagar,F,2,255,Ghonda,"Rs. 56,640 Per Square Meter",56640,Shahadra North
806,Jaipur Estate,B,5,154,Nizamuddin,"Rs. 2,45,520 Per Square Meter",245520,City
807,Jait Pur,H,4,202,Meethapur,"Rs. 23,280 Per Square Meter",23280,Central
808,Jait Pur Extn,G,4,202,Meethapur,Rs. 46200 Per Square Meter,46200,Central
809,Jai Vihar,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
810,"Jai Vihar Colony, Najafgarh",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
811,"Jai Vihar, Nangloi Road",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
812,Jal Vihar,D,4,155,Lajpat Nagar,"Rs. 1,27,680 Per Square Meter",127680,Central
813,Jama Masjid,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
814,Jamia Nagar,F,4,206,Okhla,"Rs. 56,640 Per Square Meter",56640,Central
815,Janak Park,F,10,110,Janakpuri II,"Rs. 56,640 Per Square Meter",56640,West
816,Janakpuri,D,10,117,Janak Puri West,"Rs. 1,27,680 Per Square Meter",127680,West
817,Jangpura A,D,4,157,Kasturba Nagar,"Rs. 1,27,680 Per Square Meter",127680,Central
818,Jangpura B,F,4,156,Bhogal,"Rs. 56,640 Per Square Meter",56640,Central
819,Jangpura Extension,D,4,155,Lajpat Nagar,"Rs. 1,27,680 Per Square Meter",127680,Central
820,"Janki Puri ,Jeewan Park (Uttam Nagar)",G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
821,Janta Colony,G,2,239,Vivek Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
822,Janta Colony JJ Cluster,G,2,248,Welcome Colony,Rs. 46200 Per Square Meter,46200,Shahadra North
823,Janta Colony(Paschimpuri),E,10,103,Madipur A,"Rs. 70,070 Per Square Meter",70070,West
824,Janta Colony Raghubir Nagar,F,10,101,Raja Garden,"Rs. 56,640 Per Square Meter",56640,West
825,"Janta Colony, Shahdara",F,1,238,Jhilmil,"Rs. 56,640 Per Square Meter",56640,Shahadra South
826,Janta Flats Paschim Vihar,D,10,58,Paschim Vihar North,"Rs. 1,27,680 Per Square Meter",127680,West
827,"Janta Vihar Colony,Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
828,Jasola,G,4,208,Savita Vihar,Rs. 46200 Per Square Meter,46200,Central
829,Jasola Vihar,D,4,208,Savita Vihar,"Rs. 1,27,680 Per Square Meter",127680,Central
830,"Jatav Basti , Mehrauli",G,3,169,Lado Sarai,Rs. 46200 Per Square Meter,46200,South
831,Jat Khor,H,7,27,Begumpur,"Rs. 23,280 Per Square Meter",23280,Narela
832,Jaunti,H,7,29,Karala,"Rs. 23,280 Per Square Meter",23280,Narela
833,Jawahar Camp,G,10,98,Mansarovar Garden,Rs. 46200 Per Square Meter,46200,West
